Bike_ID,Brand,Model_Name,Category,Engine_CC,Max_Power_bhp,Max_Torque_Nm,Top_Speed_kmph,Mileage_kmpl,Price_INR,Country_Origin,Launch_Year,ABS,Fuel_Type,Transmission,Popular_in_India,Description
B0001,Aprilia,V 150 R,Sports,155,36.9,28.3,125,31.8,239942,Italy,2025,Yes,Petrol,Manual,No,Entry-level performance machine
B0002,Suzuki,S 200 Pro,Cruiser,500,43.6,28.9,183,16.5,1878693,Japan,2022,Yes,Petrol,Automatic,Yes,Comfort-focused road cruiser
B0003,Honda,V 1000,Sports,0,87.0,126.6,106,,993216,Japan,2014,Yes,Electric,Manual,No,High-performance sportbike
B0004,Honda,F 1000 S,Cruiser,500,38.4,31.7,149,24.1,1439923,Japan,2015,No,Petrol,Manual,No,Comfort-focused road cruiser
B0005,Royal Enfield,X 800 S,Cruiser,883,104.8,126.6,292,12.2,1501262,India,2013,No,Petrol,Manual,Yes,Comfort-focused road cruiser
B0006,Jawa,Pro 390 S,Cruiser,1200,130.8,91.7,197,10.1,1637588,India,2018,Yes,Petrol,Manual,Yes,Comfort-focused road cruiser
B0007,Triumph,Thunder 400 X,Sports,390,52.1,48.6,154,25.2,1847158,UK,2010,No,Petrol,Automatic,No,High-performance sportbike
B0008,Ather,GT 390 Pro,Electric,0,78.3,93.9,98,,1409974,India,2016,Yes,Electric,Manual,Yes,Electric powertrain with instant torque
B0009,Ducati,S 250 X,Touring,500,44.5,49.6,179,18.6,3858335,Italy,2007,Yes,Petrol,Automatic,No,Long-distance touring motorcycle
B0010,KTM,GT 500 X,Commuter,110,18.5,10.5,113,67.2,276468,Austria,2021,No,Petrol,Automatic,No,Fuel-efficient daily commuter
B0011,Okinawa,Classic 100 Z,Cruiser,1200,105.4,74.3,260,5.6,1767852,India,2013,Yes,Petrol,Manual,Yes,Comfort-focused road cruiser
B0012,MV Agusta,Pro 125,Adventure,1200,107.0,98.4,232,6.9,1480817,Italy,2006,Yes,Petrol,Manual,No,Dual-purpose adventure tourer
B0013,Brahmos,R 150 R,Commuter,110,9.7,9.1,129,40.0,135684,India,2025,Yes,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0014,KTM,R 800 R,Commuter,110,13.8,13.2,103,36.6,200287,Austria,2018,No,Petrol,Automatic,No,Fuel-efficient daily commuter
B0015,KTM,Turbo 125 R,Naked,300,21.5,25.8,123,35.0,378498,Austria,2021,Yes,Petrol,Manual,Yes,Entry-level performance machine
B0016,Yezdi,R 500 R,Sports,300,42.3,17.9,158,20.8,391732,India,2011,No,Petrol,Automatic,Yes,Entry-level performance machine
B0017,MV Agusta,SR 200 X,Naked,200,27.5,19.1,168,38.7,413444,Italy,2021,Yes,Petrol,Manual,Yes,Entry-level performance machine
B0018,Yamaha,SR 250 S,Touring,650,81.7,55.6,227,8.1,4178356,Japan,2008,No,Petrol,Manual,No,Long-distance touring motorcycle
B0019,Jawa,S 150,Cruiser,750,85.4,54.2,222,11.0,625756,India,2005,No,Petrol,Manual,Yes,Comfort-focused road cruiser
B0020,Brahmos,F 200 R,Commuter,150,13.1,8.1,104,67.8,270875,India,2018,No,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0021,Jawa,Classic 800 Pro,Sports,250,26.2,15.6,169,31.2,839576,India,2010,Yes,Petrol,Manual,Yes,Entry-level performance machine
B0022,Suzuki,Classic 800 X,Sports,1000,141.5,84.9,200,12.9,620375,Japan,2016,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0023,Okinawa,F 150 X,Cruiser,750,62.8,72.1,204,15.7,1797824,India,2008,No,Petrol,Manual,Yes,Comfort-focused road cruiser
B0024,Ather,V 100 Pro,Sports,390,59.1,32.8,205,16.7,876726,India,2005,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0025,Ducati,Pro 500,Touring,650,62.8,68.2,202,15.5,2269976,Italy,2017,No,Petrol,Automatic,No,Long-distance touring motorcycle
B0026,KTM,Thunder 500 X,Sports,600,67.0,64.9,211,14.6,429808,Austria,2019,No,Petrol,Automatic,No,High-performance sportbike
B0027,Ultraviolette,GT 500 Pro,Adventure,650,85.3,56.7,190,16.1,1325370,India,2020,Yes,Petrol,Manual,Yes,Dual-purpose adventure tourer
B0028,Triumph,R 350 X,Commuter,110,12.6,10.4,109,56.2,258484,UK,2010,No,Petrol,Manual,No,Fuel-efficient daily commuter
B0029,Ducati,Pro 150 Pro,Classic,500,48.6,38.3,180,29.3,1109665,Italy,2020,No,Petrol,Manual,No,Retro-inspired motorcycle with thumping torque
B0030,Okinawa,V 800 Z,Commuter,150,11.3,8.5,118,39.4,159966,India,2012,Yes,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0031,Honda,SR 110 X,Naked,500,48.6,26.6,193,20.8,736837,Japan,2014,Yes,Petrol,Automatic,No,High-performance sportbike
B0032,Suzuki,Pro 800 Z,Adventure,390,40.9,37.1,189,20.0,2620932,Japan,2023,Yes,Petrol,Automatic,No,Dual-purpose adventure tourer
B0033,Hero,Thunder 125 X,Sports,155,29.5,17.4,140,26.8,591671,India,2007,No,Petrol,Automatic,Yes,Entry-level performance machine
B0034,Harley-Davidson,Pro 100 S,Sports,155,39.5,24.4,168,20.6,557245,USA,2008,Yes,Petrol,Automatic,No,Entry-level performance machine
B0035,Ultraviolette,V 800 S,Classic,350,68.5,43.0,160,29.5,429213,India,2011,No,Petrol,Automatic,Yes,Retro-inspired motorcycle with thumping torque
B0036,TVS,F 150 Pro,Adventure,0,46.9,77.1,136,,453870,India,2022,Yes,Electric,Automatic,Yes,Dual-purpose adventure tourer
B0037,Ducati,X 1000 X,Naked,500,68.4,40.9,198,25.6,1096975,Italy,2018,No,Petrol,Automatic,No,High-performance sportbike
B0038,BMW,SR 1000 Pro,Cruiser,0,37.2,88.8,91,,3280367,Germany,2005,No,Electric,Automatic,No,Comfort-focused road cruiser
B0039,Yamaha,Classic 200 Z,Commuter,125,14.2,9.1,115,58.8,227782,Japan,2005,No,Petrol,Automatic,Yes,Fuel-efficient daily commuter
B0040,Okinawa,SR 200,Classic,650,82.1,57.0,230,12.0,643988,India,2015,Yes,Petrol,Manual,Yes,Retro-inspired motorcycle with thumping torque
B0041,Bajaj,GT 150 R,Commuter,150,15.1,12.6,138,41.3,221482,India,2014,No,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0042,Hero,GT 200 Pro,Naked,125,16.4,8.8,131,34.1,199619,India,2010,No,Petrol,Automatic,Yes,Entry-level performance machine
B0043,Royal Enfield,Turbo 110 Pro,Cruiser,883,130.4,111.2,199,6.5,2495037,India,2008,Yes,Petrol,Manual,Yes,Comfort-focused road cruiser
B0044,KTM,S 400 Z,Commuter,110,12.6,13.5,119,64.4,224893,Austria,2025,Yes,Petrol,Manual,Yes,Fuel-efficient daily commuter
B0045,MV Agusta,SR 125 Z,Sports,150,12.9,12.1,130,41.7,617700,Italy,2013,Yes,Petrol,Manual,No,Entry-level performance machine
B0046,Aprilia,SR 300 Pro,Adventure,1200,100.4,85.9,198,5.7,2164879,Italy,2008,No,Petrol,Automatic,No,Dual-purpose adventure tourer
B0047,Ampere,V 390 Z,Naked,500,53.9,47.2,181,24.1,262784,India,2023,Yes,Petrol,Automatic,Yes,High-performance sportbike
B0048,Royal Enfield,GT 350 Z,Commuter,0,39.4,73.3,83,,98360,India,2020,No,Electric,Manual,Yes,Fuel-efficient daily commuter
B0049,MV Agusta,GT 250 X,Sports,600,86.5,59.0,230,8.4,641031,Italy,2022,No,Petrol,Manual,No,High-performance sportbike
B0050,Royal Enfield,Classic 400 X,Sports,600,62.1,54.3,176,19.1,1227905,India,2010,Yes,Petrol,Manual,Yes,High-performance sportbike
B0051,Ampere,Pro 300 Pro,Adventure,390,66.5,36.5,155,24.7,795266,India,2020,No,Hybrid,Automatic,Yes,Dual-purpose adventure tourer
